City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
428,Along,IN,75.43,broken clouds,28.1667,94.7667,Hotel West
433,Miri,MY,86.0,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
437,Vaitape,PF,82.38,clear sky,-16.5167,-151.75,Conrad Bora Bora Nui
455,Mackay,AU,87.8,scattered clouds,-21.15,149.2,International Lodge Motel
456,Francisco Sa,BR,75.2,clear sky,-16.4758,-43.4883,Amaralina Hotel
459,Belmonte,BR,77.0,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
462,Tagusao,PH,83.19,broken clouds,9.1924,117.8141,Toledo
464,Porto Velho,BR,77.0,light rain,-8.7619,-63.9039,Hotel Vila Rica Porto Velho
465,Kununurra,AU,80.6,moderate rain,-15.7667,128.7333,Hotel Kununurra
466,Vila Velha,BR,78.8,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
469,Samarai,PG,84.65,scattered clouds,-10.6167,150.6667,Nuli Sapi
470,Nandaime,NI,75.2,scattered clouds,11.757,-86.0529,Hotel Restaurante Plaza Manchon
479,Manta,EC,77.0,overcast clouds,-0.95,-80.7333,Balandra Hotel
480,Takoradi,GH,78.8,clear sky,4.8845,-1.7554,Raybow International Hotel
482,Merauke,ID,83.48,light rain,-8.4667,140.3333,
485,Jiangmen,CN,79.0,scattered clouds,22.5833,113.0833,Palace International Hotel
488,San Fernando,PH,86.0,broken clouds,15.0286,120.6898,Maharlika Hostel
505,Portobelo,PA,79.0,scattered clouds,9.55,-79.65,Scuba Portobelo
507,Saint-Pierre,RE,86.0,light rain,-21.3393,55.4781,Lindsey Hôtel
510,Karang Tengah,ID,84.7,broken clouds,-7.5787,111.8642,Griya Alifia Family
511,San Nicolas,PH,84.2,few clouds,18.1725,120.5953,NORTHVIEW Hotel
518,Nelson Bay,AU,84.2,clear sky,-32.7167,152.15,Mantra Nelson Bay
519,San Andres,CO,78.8,few clouds,12.5847,-81.7006,Hotel Arena Blanca
520,Kieta,PG,84.4,moderate rain,-6.2167,155.6333,
523,Maputo,MZ,77.0,light rain,-25.9653,32.5892,Pestana Rovuma
524,Monrovia,LR,75.2,light rain,6.3005,-10.7969,Sunset Inn
526,Manaus,BR,80.6,clear sky,-3.1019,-60.025,Hotel do Largo
527,Cooma,AU,77.0,broken clouds,-36.2333,149.1333,High Country Motel
528,Pontianak,ID,82.4,light rain,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
529,Saint-Georges,GD,78.8,few clouds,12.0564,-61.7485,Siesta Hotel
531,Tezu,IN,80.87,clear sky,27.9167,96.1667,Circuit House
539,Port Hedland,AU,85.57,scattered clouds,-20.3167,118.5667,The Esplanade Hotel
541,Mildura,AU,81.0,broken clouds,-34.2,142.15,Mercure Hotel Mildura
542,Salinopolis,BR,79.54,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
545,Inhambane,MZ,84.2,broken clouds,-23.865,35.3833,Oceano
552,Mana,GF,76.51,few clouds,5.6592,-53.7767,LE SAMANA
554,Moerai,PF,80.4,overcast clouds,-22.4333,-151.3333,Le Manotel
562,Kuala Terengganu,MY,80.01,scattered clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
564,Natal,BR,78.8,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
565,Gizo,SB,84.78,light rain,-8.103,156.8419,Imagination Island
572,Honiara,SB,84.0,clear sky,-9.4333,159.95,Heritage Park Hotel
576,Conakry,GN,76.24,clear sky,9.538,-13.6773,Riviera Royal Hotel
581,Acarau,BR,77.83,broken clouds,-2.8856,-40.12,castelo pizzaria
582,Kollam,IN,87.8,haze,8.8833,76.6,The Raviz Ashtamudi
583,Fomboni,KM,83.44,broken clouds,-12.28,43.7425,Auberge les abou
585,Sabang,ID,81.37,scattered clouds,5.8933,95.3214,Hotel Citra
591,Labuhan,ID,83.28,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
605,Chinchani,IN,78.13,scattered clouds,19.8667,72.7,Vasantshrushti Farm
608,Ramanuj Ganj,IN,82.74,clear sky,23.8,83.7,HOTEL SAI SIDDHI
612,Manokwari,ID,82.62,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
620,Ambovombe,MG,86.59,scattered clouds,-25.1667,46.0833,RELAHARA
624,Kupang,ID,84.2,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
625,Mitsamiouli,KM,78.8,few clouds,-11.3847,43.2844,Foyer ADM
628,Banda Aceh,ID,85.01,scattered clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
632,Pandan,PH,78.08,light rain,14.0453,124.1694,Bonifacio Lodge
635,Teknaf,BD,76.71,clear sky,20.8624,92.3058,Forestry Guesthouse
638,Townsville,AU,87.8,few clouds,-19.25,146.8,Rydges Southbank Townsville
655,Layou,VC,78.8,scattered clouds,13.2,-61.2667,Grace And Truth Campsite
659,Ouegoa,NC,83.23,few clouds,-20.35,164.4333,
670,Puerto Madryn,AR,85.86,clear sky,-42.7692,-65.0385,Hotel Tolosa
671,Dzaoudzi,YT,84.2,clear sky,-12.7887,45.2699,Le Rocher
672,Balikpapan,ID,84.2,few clouds,-1.2675,116.8289,Grand Jatra Hotel Balikpapan
675,Souillac,MU,84.2,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
686,Chapada Dos Guimaraes,BR,78.8,broken clouds,-15.4606,-55.7497,Pousada Morro Dos Ventos
687,Tual,ID,82.92,moderate rain,-5.6667,132.75,Grand Vilia Hotel
689,Kloulklubed,PW,86.0,broken clouds,7.0419,134.2556,Storyboard Beach Resort
690,Port-Gentil,GA,81.45,broken clouds,-0.7193,8.7815,Fengshui Residence
691,Batticaloa,LK,79.03,overcast clouds,7.7102,81.6924,Grand Star Guest House
692,Darlawn,IN,77.0,haze,24.0167,92.9,BNRGSK BUILDING
693,Itarema,BR,78.62,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
696,Wewak,PG,84.38,light rain,-3.5534,143.6268,In Wewak Boutique Hotel
697,Omboue,GA,77.67,overcast clouds,-1.5746,9.2618,Hotel Olako
