City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
235,Ilhabela,BR,-23.7781,-45.3581,79.21,81,100,6.35,moderate rain
236,Mosetse,BW,-20.75,26.65,69.94,88,57,7.27,broken clouds
237,Singapore,SG,1.2897,103.8501,89.6,55,75,11.5,broken clouds
238,Tambo,PE,-14.8,-73.9167,37.13,99,100,4.68,light rain
239,Harper,LR,4.375,-7.7169,78.22,90,43,7.18,scattered clouds
240,Windhoek,NA,-22.5594,17.0832,68.0,52,2,2.3,clear sky
241,Kauhajoki,FI,62.4333,22.1833,-14.8,76,0,2.3,clear sky
242,Vao,NC,-22.6667,167.4833,78.8,88,0,14.18,clear sky
243,Yulara,AU,-25.2406,130.9889,77.0,50,90,8.05,overcast clouds
244,Tigil,RU,57.8,158.6667,3.16,90,93,3.53,overcast clouds
245,Isangel,VU,-19.55,169.2667,83.82,64,98,4.27,overcast clouds
246,Tessalit,ML,20.1986,1.0114,65.82,24,87,16.53,overcast clouds
247,Ostrovnoy,RU,68.0531,39.5131,13.69,90,100,20.2,overcast clouds
248,San Policarpo,PH,12.1791,125.5072,81.88,84,98,15.28,overcast clouds
249,Big Spring,US,32.2504,-101.4787,44.6,53,1,11.5,clear sky
250,Ukiah,US,39.1502,-123.2078,46.0,81,1,2.57,clear sky
251,Arlit,NE,18.7369,7.3853,60.08,30,42,6.11,scattered clouds
252,Cotonou,BJ,6.3654,2.4183,84.2,84,40,8.05,scattered clouds
253,Alihe,CN,50.5667,123.7167,6.15,84,95,3.65,overcast clouds
254,Solhan,TR,38.9634,41.0293,37.4,93,75,1.14,broken clouds
255,Ternate,ID,0.8,127.4,84.42,67,100,3.42,overcast clouds
256,Bilma,NE,18.6853,12.9164,57.92,34,0,9.37,clear sky
257,Eureka,US,40.8021,-124.1637,44.01,89,1,4.05,clear sky
258,Motygino,RU,58.1831,94.7592,7.18,93,100,7.34,overcast clouds
259,Guerrero Negro,MX,27.9769,-114.0611,59.72,74,97,14.76,overcast clouds
260,Mercedes,AR,-34.6515,-59.4307,64.99,92,0,4.05,clear sky
261,Malabo,GQ,3.75,8.7833,75.2,94,20,2.3,few clouds
262,Vostok,RU,46.4856,135.8833,2.86,85,12,5.06,few clouds
263,Artvin,TR,41.1667,41.8333,53.6,87,75,14.97,broken clouds
264,Baturaja,ID,-4.1333,104.1667,86.94,61,52,6.76,broken clouds
265,Anadyr,RU,64.75,177.4833,5.0,78,40,24.61,snow
266,Bathsheba,BB,13.2167,-59.5167,78.8,61,20,19.57,few clouds
267,Lima,PE,-12.0432,-77.0282,72.0,83,40,9.22,scattered clouds
268,Pisco,PE,-13.7,-76.2167,71.6,78,0,3.44,clear sky
269,Port Macquarie,AU,-31.4333,152.9167,84.0,60,3,1.99,clear sky
270,Uklana Mandi,IN,29.5023,75.8849,63.3,55,0,1.88,clear sky
271,Te Anau,NZ,-45.4167,167.7167,74.59,44,70,2.59,broken clouds
272,Kerouane,GN,9.2667,-9.0167,68.61,74,0,4.45,clear sky
273,Conde,BR,-7.2597,-34.9075,77.0,88,40,4.61,scattered clouds
274,Krasnomayskiy,RU,57.6194,34.4099,5.02,94,97,7.47,overcast clouds
275,Hovd,MN,48.0056,91.6419,27.54,72,82,1.92,broken clouds
276,Wajir,KE,1.7471,40.0573,75.2,73,0,3.44,clear sky
277,Sao Filipe,CV,14.8961,-24.4956,70.63,75,100,12.46,overcast clouds
278,Roma,US,43.2128,-75.4557,23.0,86,1,6.91,clear sky
279,College,US,64.8569,-147.8028,-27.0,68,40,3.44,scattered clouds
280,Russell,US,32.3502,-85.1999,57.2,62,90,12.66,overcast clouds
281,Nome,US,64.5011,-165.4064,12.2,73,90,20.71,light snow
282,Aguada De Cima,PT,40.5229,-8.427,50.0,86,80,3.8,broken clouds
283,Broome,US,42.2506,-75.833,28.4,64,1,8.05,clear sky
284,Fare,PF,-16.7,-151.0167,81.45,70,3,8.43,clear sky
285,Port Hardy,CA,50.6996,-127.4199,46.4,93,90,9.22,moderate rain
286,Comodoro Rivadavia,AR,-45.8667,-67.5,71.6,60,0,9.22,clear sky
287,Gat,IL,31.61,34.7642,55.99,100,100,2.39,overcast clouds
288,Paamiut,GL,61.994,-49.6678,17.69,74,23,4.85,few clouds
289,Beaverlodge,CA,55.2166,-119.4361,-5.8,77,75,3.44,broken clouds
290,Kalmunai,LK,7.4167,81.8167,79.38,80,99,13.47,overcast clouds
291,West Wendover,US,40.7391,-114.0733,30.2,55,75,6.91,broken clouds
292,Klaksvik,FO,62.2266,-6.589,33.8,64,20,11.5,light snow
293,Bogashevo,RU,56.3683,85.1447,7.0,85,40,8.95,light snow
294,Lorengau,PG,-2.0226,147.2712,78.53,84,100,8.63,heavy intensity rain
295,Richards Bay,ZA,-28.783,32.0377,75.96,83,81,8.34,broken clouds
296,Thompson,CA,55.7435,-97.8558,-13.0,77,75,6.91,light snow
297,Cajabamba,PE,-7.6167,-78.05,54.45,77,98,3.06,overcast clouds
298,Siuna,NI,13.7332,-84.7773,64.45,90,55,2.95,broken clouds
299,Aktau,KZ,43.65,51.2,41.0,93,90,13.42,light intensity drizzle
300,Medicine Hat,CA,50.0501,-110.6683,21.2,73,90,14.97,light snow
301,Chuy,UY,-33.6971,-53.4616,64.02,80,77,12.93,broken clouds
302,Menongue,AO,-14.6585,17.691,60.53,85,33,3.87,scattered clouds
303,Mayo,US,38.8876,-76.5119,39.2,65,75,10.36,broken clouds
304,Hami,CN,42.8,93.45,37.65,66,1,2.42,clear sky
