City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
268,Sao Paulo De Olivenca,BR,2021-02-03 02:06:15,-3.3783,-68.8725,73.76,94,100,2.68
269,Port Augusta,AU,2021-02-03 02:06:15,-32.5,137.7667,81.0,38,48,10.36
270,Ca Mau,VN,2021-02-03 02:06:15,9.1769,105.15,80.94,65,40,11.54
271,Ergani,TR,2021-02-03 02:06:12,38.2653,39.7621,33.8,100,75,4.61
272,Voh,NC,2021-02-03 02:06:15,-20.9667,164.7,73.67,88,100,13.51
273,Taltal,CL,2021-02-03 02:06:15,-25.4,-70.4833,64.98,73,0,3.56
274,Korsakov,RU,2021-02-03 02:06:15,46.6328,142.7813,-2.2,84,75,8.95
275,Yabrud,SY,2021-02-03 02:06:16,33.9674,36.6574,53.01,50,0,5.75
276,Yatou,CN,2021-02-03 02:06:16,37.15,122.3833,38.53,71,14,16.71
277,Constitucion,CL,2021-02-03 02:06:16,-35.3333,-72.4167,58.26,85,2,2.33
278,Talnakh,RU,2021-02-03 02:06:16,69.4865,88.3972,-13.02,84,92,3.44
279,San Patricio,US,2021-02-03 02:06:16,28.017,-97.5169,62.6,67,40,8.05
280,Aquiraz,BR,2021-02-03 02:06:16,-3.9014,-38.3911,80.6,78,20,12.66
281,Honiara,SB,2021-02-03 02:06:16,-9.4333,159.95,79.02,85,100,11.61
282,Dalvik,IS,2021-02-03 02:06:07,65.9702,-18.5286,6.8,78,0,5.75
283,Behshahr,IR,2021-02-03 02:06:17,36.6923,53.5526,52.47,45,0,4.61
284,Baoqing,CN,2021-02-03 02:06:17,46.3317,132.2111,-8.03,82,0,10.54
285,Troitskoye,RU,2021-02-03 02:06:17,52.9821,84.6757,17.71,96,100,11.45
286,Homer,US,2021-02-03 02:05:40,59.6425,-151.5483,21.99,93,90,3.44
287,Victoria,HK,2021-02-03 02:02:00,22.2855,114.1577,66.0,63,35,1.01
288,Zhicheng,CN,2021-02-03 02:06:17,30.2956,111.5047,52.0,60,3,3.31
289,Longyearbyen,SJ,2021-02-03 02:06:17,78.2186,15.6401,24.8,68,40,13.8
290,Anamur,TR,2021-02-03 02:03:07,36.0751,32.8369,53.6,82,75,5.75
291,Montepuez,MZ,2021-02-03 02:06:18,-13.1256,38.9997,67.89,93,100,1.32
292,San Andres,CO,2021-02-03 02:04:10,12.5847,-81.7006,78.8,78,20,20.71
